Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 11.92, 14.99, 15.77, 16.19, 16.53, 17.02, 17.25, 
Noise - Residential, 0.28, 0.28, 0.27, 0.27, 0.27, 0.28, 0.3, 
Illegal Parking, 0.62, 0.61, 0.61, 0.62, 0.63, 0.63, 0.65, 
Blocked Driveway, 0.57, 0.58, 0.59, 0.59, 0.59, 0.59, 0.6, 
Street Condition, 20.33, 22.56, 23.2, 23.44, 23.72, 23.9, 23.84, 
UNSANITARY CONDITION, 64.98, 68.21, 72.43, 75.0, 77.4, 80.26, 83.44, 
Water System, 6.34, 6.52, 6.6, 6.61, 6.61, 6.53, 6.56, 
Street Light Condition, 22.0, 22.75, 22.72, 22.64, 22.6, 22.48, 22.05, 
Noise - Street_Sidewalk, 0.55, 0.56, 0.56, 0.57, 0.57, 0.57, 0.57, 
PAINT_PLASTER, 62.75, 65.95, 67.5, 69.29, 70.85, 72.36, 73.5, 
Noise, 29.54, 30.67, 30.66, 30.94, 31.3, 31.58, 31.29, 
PLUMBING, 68.1, 70.14, 71.53, 72.72, 74.41, 76.23, 79.13, 
Noise - Commercial, 0.5, 0.5, 0.49, 0.5, 0.48, 0.48, 0.49, 
Traffic Signal Condition, 1.35, 1.4, 1.41, 1.41, 1.41, 1.41, 1.41, 
DOOR_WINDOW, 68.26, 70.16, 71.04, 73.61, 77.31, 79.3, 81.07, 
Sanitation Condition, 9.86, 10.52, 10.43, 10.39, 10.37, 10.56, 10.58, 
Dirty Conditions, 20.19, 23.51, 24.09, 23.82, 24.09, 24.43, 24.29, 
WATER LEAK, 73.66, 77.56, 77.98, 79.94, 83.69, 86.78, 91.91, 
Sewer, 4.42, 4.51, 4.37, 4.34, 4.35, 4.36, 4.32, 
Missed Collection (All Materials), 20.85, 24.13, 25.28, 26.22, 26.21, 25.85, 25.65, 
General Construction_Plumbing, 45.28, 45.72, 47.91, 48.93, 48.55, 47.97, 47.14, 
Derelict Vehicle, 1.15, 1.17, 1.16, 1.17, 1.19, 1.2, 1.2, 
Derelict Vehicles, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 
Building_Use, 152.64, 142.53, 154.41, 156.39, 152.45, 146.66, 144.94, 
Sidewalk Condition, 39.34, 44.6, 45.38, 45.59, 46.22, 46.95, 47.78, 
ELECTRIC, 71.82, 73.77, 72.96, 73.37, 74.93, 77.32, 77.67, 
GENERAL, 72.37, 73.46, 76.0, 77.86, 79.98, 84.37, 87.67, 
Noise - Vehicle, 0.56, 0.55, 0.55, 0.56, 0.56, 0.57, 0.57, 
FLOORING_STAIRS, 82.19, 83.24, 85.01, 84.7, 87.2, 89.06, 91.6, 
Rodent, 40.9, 46.49, 50.36, 51.67, 53.76, 54.9, 55.94, 
Damaged Tree, 113.62, 128.56, 121.26, 115.86, 114.54, 109.49, 105.75, 
