Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 9.86, 11.82, 12.97, 14.0, 14.97, 16.19, 16.73, 
Noise - Residential, 0.31, 0.3, 0.3, 0.3, 0.3, 0.3, 0.33, 
Illegal Parking, 0.64, 0.65, 0.65, 0.64, 0.64, 0.64, 0.65, 
Blocked Driveway, 0.62, 0.63, 0.63, 0.63, 0.63, 0.63, 0.64, 
Street Condition, 18.03, 19.59, 20.77, 21.6, 22.61, 23.26, 23.44, 
UNSANITARY CONDITION, 66.27, 70.66, 75.47, 78.28, 81.92, 85.84, 89.32, 
Water System, 6.36, 6.56, 6.66, 6.67, 6.74, 6.72, 6.62, 
Street Light Condition, 17.92, 17.56, 17.92, 17.87, 17.91, 18.17, 18.43, 
Noise - Street_Sidewalk, 0.53, 0.54, 0.54, 0.54, 0.55, 0.54, 0.55, 
PAINT_PLASTER, 63.29, 66.66, 69.43, 73.18, 75.34, 77.67, 78.56, 
Noise, 25.41, 26.18, 26.16, 26.76, 27.24, 27.94, 28.0, 
PLUMBING, 71.08, 73.74, 76.31, 79.35, 82.1, 84.64, 87.73, 
Noise - Commercial, 0.48, 0.48, 0.48, 0.49, 0.49, 0.49, 0.49, 
Traffic Signal Condition, 1.49, 1.51, 1.51, 1.52, 1.52, 1.54, 1.53, 
DOOR_WINDOW, 70.04, 71.73, 73.06, 75.99, 78.76, 82.12, 84.02, 
Sanitation Condition, 8.57, 9.48, 9.46, 9.4, 9.4, 9.93, 10.04, 
Dirty Conditions, 19.96, 22.46, 23.01, 23.43, 24.19, 24.91, 25.17, 
WATER LEAK, 76.09, 79.15, 80.52, 82.4, 85.95, 90.09, 93.79, 
Sewer, 3.48, 3.51, 3.56, 3.68, 3.74, 3.91, 4.0, 
Missed Collection (All Materials), 20.58, 22.86, 23.43, 23.99, 24.1, 24.37, 24.09, 
General Construction_Plumbing, 134.82, 101.54, 113.76, 103.85, 86.27, 110.05, 106.55, 
Derelict Vehicle, 1.13, 1.15, 1.14, 1.14, 1.13, 1.14, 1.15, 
Derelict Vehicles, 0.34, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 
Building_Use, 234.5, 248.05, 262.55, 267.72, 271.14, 278.18, 298.31, 
Sidewalk Condition, 41.17, 42.76, 43.65, 45.0, 47.18, 48.61, 49.91, 
ELECTRIC, 72.69, 74.25, 74.63, 76.29, 78.8, 80.69, 81.82, 
GENERAL, 73.75, 76.05, 78.67, 81.29, 85.51, 89.41, 92.74, 
Noise - Vehicle, 0.58, 0.57, 0.58, 0.58, 0.57, 0.58, 0.59, 
FLOORING_STAIRS, 86.26, 86.91, 89.17, 90.26, 92.08, 94.11, 96.53, 
Rodent, 41.01, 44.93, 47.69, 49.49, 52.13, 54.38, 55.51, 
Damaged Tree, 297.64, 340.04, 343.17, 310.6, 282.62, 257.0, 234.52, 
