Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 19.02, 21.12, 21.59, 21.15, 20.62, 21.4, 23.89, 
Noise - Residential, 0.27, 0.28, 0.27, 0.28, 0.28, 0.29, 0.32, 
Illegal Parking, 0.63, 0.64, 0.64, 0.66, 0.66, 0.67, 0.7, 
Blocked Driveway, 0.61, 0.62, 0.62, 0.63, 0.63, 0.62, 0.64, 
Street Condition, 27.86, 30.06, 30.58, 30.07, 29.34, 29.48, 31.61, 
UNSANITARY CONDITION, 76.13, 82.8, 88.79, 95.38, 101.46, 108.4, 116.78, 
Water System, 6.51, 6.71, 6.84, 6.89, 6.94, 6.85, 6.91, 
Street Light Condition, 29.2, 30.96, 30.67, 28.33, 25.16, 24.03, 25.89, 
Noise - Street_Sidewalk, 0.56, 0.57, 0.58, 0.58, 0.59, 0.6, 0.61, 
PAINT_PLASTER, 71.66, 76.72, 80.1, 83.26, 86.1, 89.74, 94.74, 
Noise, 46.21, 49.48, 48.43, 44.22, 39.14, 37.06, 41.53, 
PLUMBING, 74.17, 78.23, 81.69, 85.5, 88.62, 92.77, 98.17, 
Noise - Commercial, 0.49, 0.49, 0.48, 0.49, 0.49, 0.5, 0.51, 
Traffic Signal Condition, 1.45, 1.49, 1.48, 1.48, 1.5, 1.47, 1.5, 
DOOR_WINDOW, 74.58, 78.13, 81.3, 85.68, 90.14, 95.52, 101.02, 
Sanitation Condition, 12.13, 12.45, 12.38, 12.41, 12.43, 12.25, 12.23, 
Dirty Conditions, 24.22, 26.01, 26.58, 26.65, 26.76, 27.42, 28.94, 
WATER LEAK, 83.83, 90.28, 94.24, 98.94, 104.77, 110.89, 117.94, 
Sewer, 3.32, 3.4, 3.39, 3.38, 3.4, 3.4, 3.54, 
Missed Collection (All Materials), 23.59, 25.15, 26.1, 27.19, 27.67, 27.84, 28.27, 
General Construction_Plumbing, 43.63, 46.13, 46.0, 45.79, 45.03, 44.26, 45.64, 
Derelict Vehicle, 1.19, 1.23, 1.22, 1.23, 1.26, 1.27, 1.29, 
Derelict Vehicles, 0.36, 0.36, 0.37, 0.37, 0.37, 0.38, 0.38, 
Building_Use, 139.27, 141.53, 141.99, 144.04, 145.32, 149.46, 155.19, 
Sidewalk Condition, 52.54, 55.43, 55.26, 53.88, 52.12, 51.42, 54.7, 
ELECTRIC, 74.06, 76.81, 78.02, 79.84, 82.09, 85.34, 87.97, 
GENERAL, 81.36, 85.61, 91.47, 97.36, 103.67, 111.15, 118.08, 
Noise - Vehicle, 0.56, 0.56, 0.58, 0.58, 0.59, 0.6, 0.61, 
FLOORING_STAIRS, 85.99, 90.11, 93.25, 94.68, 97.7, 101.86, 107.26, 
Rodent, 49.85, 54.37, 58.14, 60.94, 63.89, 67.82, 72.22, 
Damaged Tree, 103.61, 107.43, 109.61, 112.69, 118.38, 122.06, 126.77, 
