Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 19.99, 21.38, 21.89, 21.91, 21.93, 22.73, 24.45, 
Noise - Residential, 0.27, 0.27, 0.27, 0.27, 0.27, 0.25, 0.28, 
Illegal Parking, 0.63, 0.64, 0.64, 0.65, 0.65, 0.53, 0.55, 
Blocked Driveway, 0.6, 0.61, 0.61, 0.62, 0.62, 0.53, 0.54, 
Street Condition, 28.08, 29.6, 30.02, 29.8, 29.5, 29.8, 31.27, 
UNSANITARY CONDITION, 91.91, 98.33, 104.46, 110.67, 116.41, 122.69, 129.17, 
Water System, 6.53, 6.75, 6.88, 6.92, 6.94, 6.92, 6.92, 
Street Light Condition, 28.21, 29.34, 29.06, 27.43, 25.47, 24.81, 25.86, 
Noise - Street_Sidewalk, 0.55, 0.56, 0.56, 0.56, 0.56, 0.55, 0.56, 
PAINT_PLASTER, 77.2, 81.04, 84.12, 87.25, 90.17, 93.62, 97.49, 
Noise, 45.05, 47.23, 46.52, 43.82, 40.54, 39.3, 42.12, 
PLUMBING, 83.86, 87.99, 91.59, 95.63, 99.28, 103.59, 108.56, 
Noise - Commercial, 0.48, 0.48, 0.48, 0.49, 0.49, 0.48, 0.49, 
Traffic Signal Condition, 1.44, 1.47, 1.48, 1.5, 1.51, 1.51, 1.53, 
DOOR_WINDOW, 82.5, 86.42, 89.81, 94.42, 98.75, 103.9, 108.72, 
Sanitation Condition, 12.04, 12.25, 12.13, 12.14, 12.18, 12.14, 12.21, 
Dirty Conditions, 24.81, 26.17, 26.73, 26.92, 27.07, 27.62, 28.62, 
WATER LEAK, 90.99, 95.97, 99.91, 104.37, 109.03, 113.47, 118.87, 
Sewer, 3.0, 3.01, 3.03, 3.04, 3.04, 3.11, 3.18, 
Missed Collection (All Materials), 23.54, 24.59, 25.09, 25.71, 25.94, 25.93, 26.17, 
General Construction_Plumbing, 42.41, 43.97, 43.95, 43.53, 42.92, 42.84, 43.7, 
Derelict Vehicle, 1.19, 1.2, 1.2, 1.21, 1.22, 1.08, 1.11, 
Derelict Vehicles, 0.35, 0.35, 0.36, 0.36, 0.36, 0.37, 0.38, 
Building_Use, 135.38, 136.19, 138.2, 142.56, 145.21, 147.84, 149.01, 
Sidewalk Condition, 50.88, 53.16, 53.27, 52.86, 52.44, 52.7, 55.18, 
ELECTRIC, 76.75, 79.23, 81.12, 83.45, 85.85, 88.23, 90.47, 
GENERAL, 94.64, 99.56, 105.31, 111.02, 116.8, 123.04, 128.72, 
Noise - Vehicle, 0.55, 0.56, 0.57, 0.57, 0.57, 0.54, 0.55, 
FLOORING_STAIRS, 91.86, 94.67, 97.92, 99.81, 102.96, 106.57, 110.62, 
Rodent, 54.56, 58.12, 61.03, 63.54, 65.95, 68.78, 71.9, 
Damaged Tree, 102.15, 103.94, 104.46, 106.16, 107.96, 108.64, 111.07, 
