Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.86, 13.52, 14.85, 15.77, 16.49, 17.39, 18.03, 
Noise - Residential, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.26, 
Illegal Parking, 0.45, 0.45, 0.45, 0.45, 0.45, 0.46, 0.47, 
Blocked Driveway, 0.49, 0.5, 0.5, 0.5, 0.5, 0.51, 0.52, 
Street Condition, 18.37, 19.73, 20.74, 21.41, 22.24, 22.93, 23.34, 
UNSANITARY CONDITION, 70.84, 75.7, 80.69, 84.55, 89.3, 93.18, 97.89, 
Water System, 6.66, 6.73, 6.78, 6.77, 6.76, 6.64, 6.59, 
Street Light Condition, 16.84, 16.91, 16.75, 16.72, 16.72, 16.81, 16.93, 
Noise - Street_Sidewalk, 0.52, 0.53, 0.53, 0.53, 0.53, 0.53, 0.54, 
PAINT_PLASTER, 65.99, 69.44, 71.02, 73.02, 75.51, 78.42, 79.83, 
Noise, 25.67, 26.26, 26.34, 26.88, 27.51, 28.47, 28.72, 
PLUMBING, 72.91, 75.74, 78.63, 81.49, 83.66, 85.86, 89.18, 
Noise - Commercial, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 
Traffic Signal Condition, 1.43, 1.45, 1.46, 1.47, 1.47, 1.48, 1.48, 
DOOR_WINDOW, 73.52, 74.96, 76.17, 79.4, 82.16, 85.6, 88.05, 
Sanitation Condition, 8.48, 9.64, 9.46, 9.31, 9.43, 9.82, 9.94, 
Dirty Conditions, 21.31, 24.2, 24.19, 23.8, 23.84, 24.37, 24.75, 
WATER LEAK, 76.84, 80.42, 82.35, 84.43, 88.4, 91.9, 96.04, 
Sewer, 3.12, 3.15, 3.09, 3.03, 3.04, 2.99, 3.01, 
Missed Collection (All Materials), 20.14, 21.98, 22.44, 22.97, 23.02, 23.25, 23.38, 
General Construction_Plumbing, 40.86, 44.72, 42.73, 42.32, 42.86, 41.53, 40.72, 
Derelict Vehicle, 0.99, 1.0, 1.0, 0.99, 0.99, 1.0, 1.02, 
Derelict Vehicles, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 
Building_Use, 135.1, 133.37, 135.97, 139.4, 138.12, 142.77, 139.74, 
Sidewalk Condition, 38.44, 40.69, 41.88, 43.03, 45.48, 46.74, 47.73, 
ELECTRIC, 76.59, 78.64, 79.39, 80.86, 82.42, 84.29, 85.67, 
GENERAL, 81.25, 83.11, 87.3, 89.88, 94.1, 99.02, 103.8, 
Noise - Vehicle, 0.52, 0.53, 0.52, 0.53, 0.53, 0.53, 0.54, 
FLOORING_STAIRS, 86.89, 88.31, 91.87, 92.01, 94.19, 96.71, 99.44, 
Rodent, 40.0, 43.93, 46.99, 49.71, 52.05, 54.44, 56.09, 
Damaged Tree, 114.46, 113.95, 119.77, 121.03, 115.97, 117.6, 118.98, 
