Predicted1,Real1,Predicted7,Real7
97.33779155176268,107.5,99.25775592918887,115.0
93.31250949419332,102.0,105.1789448366384,117.5
80.68300217178565,72.0,94.84462011013669,104.0
66.1238677267692,62.0,72.24019109726252,82.0
64.58973119657274,64.0,60.91960094864927,60.5
76.6420833929072,63.0,69.85255912937451,50.0
85.90347158082416,115.0,81.1550053461612,55.5
115.43843769732906,117.5,96.59573319981342,49.0
100.92065596436392,104.0,103.99323533960376,81.0
80.54188710321503,82.0,96.33178547958612,102.0
68.73075420021888,60.5,79.9169641978278,74.0
63.188141663787995,50.0,68.44765220306518,64.0
68.25331529931297,55.5,59.923263565912755,62.0
85.51223870002445,49.0,66.8927874913614,56.0
79.74806272952708,81.0,82.94337628258972,100.0
87.9294709118836,102.0,95.37550770889273,104.0
83.66263959229946,74.0,93.08598390263614,89.0
61.84950900272771,64.0,75.56182601507929,67.0
57.53928112631692,62.0,59.23394015230638,66.0
65.41089208381733,56.0,54.1365124814769,68.0
75.02452713702189,100.0,62.01029835044519,86.0
109.53897066004879,104.0,77.62847718423684,110.0
101.05302934822733,89.0,92.08107542773503,125.0
77.5342611043281,67.0,94.03503897025364,109.0
55.509632509489755,66.0,76.90246938487657,89.0
57.59620800741718,68.0,65.41684359148043,69.0
67.56129207227933,86.0,60.622993869570216,64.5
89.99466387654127,110.0,67.36430801551371,55.5
106.9776181394892,125.0,94.03212801719206,69.0
105.5857035553302,109.0,110.29842971890203,100.5
82.72529880421082,89.0,98.76635082042003,93.0
72.55699230167569,69.0,81.75925019760153,67.0
65.02666606243731,64.5,68.53040613403543,59.0
77.01162484193043,55.5,66.96605319910428,56.0
84.02462210795683,69.0,78.02211555611295,43.0
90.81832922624027,100.5,91.14667151413737,111.0
96.2018763862834,93.0,102.53148857863596,127.0
79.34630578681445,67.0,94.99925384063084,108.0
60.70806861521694,59.0,76.57888227509049,85.5
60.23165761315759,56.0,62.460516606385546,54.0
67.36771304055434,43.0,59.317579586351144,44.0
73.67664985526228,111.0,58.975802942347535,44.0
120.19819651391386,127.0,85.66742853217238,67.0
112.71426464463975,108.0,104.8294767487311,76.0
86.54818044985352,85.5,101.23971797456697,75.0
66.49448266816785,54.0,81.7768396027425,54.5
48.092354483598704,44.0,63.203848997654724,49.0
55.42499645108361,44.0,50.92627900765175,49.0
77.16655527963684,67.0,54.24239335063347,49.0
93.44597538148923,76.0,83.54020136260296,70.0
83.04969360032673,75.0,97.10473669219994,75.5
64.9807227743057,54.5,88.92369556961576,71.5
47.07136033196431,49.0,68.04984365506544,50.0
44.62589795414268,49.0,48.13449474634049,54.0
57.90027746259392,49.0,39.831632164595725,43.0
76.53346499673414,70.0,53.731389180690115,53.0
88.74226850974021,75.5,71.38826032796483,67.0
79.86960511501125,71.5,79.34770206693521,81.0
63.89566702738841,50.0,75.24139682712415,63.0
44.81609936108544,54.0,56.95692253085105,52.0
49.14212629646719,43.0,49.106064783303104,45.0
49.6412436379348,53.0,44.9432028190088,48.0
65.742928671056,67.0,53.23797238713768,60.0
73.64481449030127,81.0,65.92843670261828,69.0
73.73531534674458,63.0,75.40204475223882,76.0
53.130918845435,52.0,66.38326629107927,85.0
47.28167182029748,45.0,54.7056688202382,67.0
44.23047886847652,48.0,47.23267109525748,62.0
55.37572772106078,60.0,46.018764656386004,54.0
69.8796952451784,69.0,55.90434227117529,83.0
74.21821871574232,76.0,67.67857103496755,104.0
67.24199953460506,85.0,74.05833536663368,105.0
66.44001194833211,67.0,70.58903741887202,104.0
53.68173738143162,62.0,60.606932604449646,88.0
55.93297494976591,54.0,52.50729576421532,67.0
57.648939412814606,83.0,52.24639437923231,57.0
83.0098286315068,104.0,67.79387906208564,55.0
94.3528767332578,105.0,83.16490795766462,64.0
86.99280164128895,104.0,88.007826169976,82.0
77.91021097153477,88.0,87.82049139435651,72.0
65.40455166947395,67.0,77.9228105979838,52.0
59.903124147543444,57.0,66.20811313258281,44.0
68.2425981528163,55.0,61.60005363675881,43.5
73.11320464103913,64.0,69.17247840321099,96.0
80.13725360912656,82.0,81.67148568713402,98.0
84.57458389259897,72.0,90.64589905643497,81.0
68.14338533587976,52.0,83.85979392585993,72.5
50.57814475768222,44.0,68.04543285721275,53.0
49.05806850566799,43.5,53.06300139230736,49.0
60.086619013504695,96.0,51.081330022518365,48.5
101.29572797413232,98.0,68.6517742095824,43.0
98.8419453861763,81.0,80.60121697269916,53.0
