HEAT_HOT WATER: 0.13, 0.16, 0.17, 0.18, 0.19, 0.26, 0.26, 
Noise - Residential: 0.11, 0.11, 0.12, 0.12, 0.12, 0.12, 0.12, 
Illegal Parking: 0.22, 0.23, 0.23, 0.23, 0.22, 0.23, 0.23, 
Blocked Driveway: 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 
Street Condition: 0.32, 0.36, 0.36, 0.38, 0.44, 0.44, 0.44, 
UNSANITARY CONDITION: 0.14, 0.15, 0.17, 0.19, 0.35, 0.37, 0.39, 
Water System: 1.02, 1.06, 1.07, 1.06, 1.05, 1.06, 1.06, 
Street Light Condition: 0.7, 0.54, 0.55, 0.53, 0.58, 0.61, 0.63, 
Noise - Street_Sidewalk: 0.34, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 
PAINT_PLASTER: 0.18, 0.19, 0.19, 0.21, 0.24, 0.25, 0.25, 
