HEAT_HOT WATER: 0.35, 0.47, 0.54, 0.53, 0.47, 0.54, 0.69, 
Noise - Residential: 0.1, 0.11, 0.13, 0.14, 0.15, 0.16, 0.17, 
Illegal Parking: 0.23, 0.27, 0.28, 0.3, 0.31, 0.33, 0.39, 
Blocked Driveway: 0.22, 0.26, 0.27, 0.29, 0.32, 0.33, 0.37, 
Street Condition: 0.68, 0.94, 1.11, 1.14, 1.11, 1.09, 1.24, 
UNSANITARY CONDITION: 0.18, 0.21, 0.24, 0.27, 0.34, 0.41, 0.49, 
Water System: 1.2, 1.43, 1.58, 1.66, 1.83, 1.91, 2.24, 
Street Light Condition: 2.34, 2.83, 2.35, 2.94, 1.68, 2.25, 4.23, 
Noise - Street_Sidewalk: 0.4, 0.49, 0.54, 0.58, 0.62, 0.69, 0.74, 
PAINT_PLASTER: 0.24, 0.28, 0.31, 0.33, 0.36, 0.39, 0.44, 
