Predicted1,Real1,Predicted7,Real7
6.290343520836873,8.0,6.0507492104190055,4.0
6.990896018763839,13.0,6.043209908105889,5.0
8.164181862028634,5.5,6.311385458135927,15.5
6.218627914486688,9.0,5.500404135713697,8.0
7.088116046746328,5.0,6.431849580807534,5.0
6.264720768791709,11.5,5.837182623864762,4.0
7.200763943175853,4.0,7.123611169351615,1.0
7.046903706361714,5.0,6.477618446094353,7.0
6.804294145861956,15.5,6.309679101888648,3.0
7.426135355219219,8.0,7.613182338764594,0.0
7.963976960050526,5.0,7.383345901560276,8.0
7.270522192864853,4.0,7.547795698371464,9.5
6.278029010441124,1.0,6.9180327386490275,15.0
6.53503052212857,7.0,6.9214185996492406,12.0
6.145044887306855,3.0,5.519521371166307,12.5
5.496931777229769,0.0,6.528870524166493,13.0
4.416125116547047,8.0,5.265505381199666,12.0
4.662523082251579,9.5,5.7438549915241275,5.0
6.098699458189472,15.0,6.3152212205231075,11.0
7.619514948597147,12.0,6.712128329606095,9.0
7.420696867247615,12.5,7.890465558878575,3.0
9.503129789304827,13.0,7.79190440840375,10.0
10.314403004571547,12.0,7.255640790022933,9.0
9.902456977327075,5.0,7.352449156913349,4.0
8.511506063098658,11.0,6.641387466132511,4.5
8.195404032377548,9.0,7.233313475459234,10.0
8.41144840116061,3.0,7.904592153297071,7.0
7.521485722088394,10.0,7.05974507105752,10.5
6.983424835937051,9.0,8.467748543829897,7.0
7.671823941938228,4.0,9.136506344812108,8.0
7.809813838402319,4.5,8.921954024474095,13.5
7.138904888706649,10.0,8.303486005812225,9.0
8.485970676209947,7.0,8.9804886913399,7.0
7.969213539809992,10.5,7.885342267418777,9.0
8.169436738853967,7.0,8.10864028219275,17.0
8.185787691850198,8.0,7.833612523703043,7.0
7.866429643379273,13.5,7.259879142536742,31.0
8.326290423865903,9.0,7.7188705027476745,14.0
8.95534729171337,7.0,7.640594081120102,2.0
7.956372131021247,9.0,7.51886728456616,4.0
7.703883719276562,17.0,7.485121514882078,7.0
10.191482666690137,7.0,8.547505187766063,10.0
8.857947633209557,31.0,7.916316419276737,5.0
11.97266438263373,14.0,10.877528707779161,8.0
12.636464971162068,2.0,11.628372499076903,4.0
11.405769623042824,4.0,9.60568691661726,8.0
9.140667036044638,7.0,8.921084868277608,9.0
9.73934540894652,10.0,8.906686090317512,2.0
8.888173879590761,5.0,8.951589807825476,10.0
7.34102203504208,8.0,9.005131253162729,7.0
8.707866409998347,4.0,10.396920102815537,10.0
7.029824594110852,8.0,8.193468591115737,3.0
7.6197308261914145,9.0,9.682234637134288,7.0
8.19310224875463,2.0,8.747433452300765,18.0
7.295004608789348,10.0,9.292395462053213,10.0
8.26658698543391,7.0,7.85817796508066,7.0
9.235965032182152,10.0,7.048873534679374,11.0
7.764953872921691,3.0,6.6030705171234585,11.5
5.3853986630383055,7.0,5.962095613624389,11.5
6.446984293893805,18.0,6.6839252700867435,17.0
8.55596930485663,10.0,7.254674513327259,10.0
8.733455644227773,7.0,7.822743409784469,2.0
8.114453354390912,11.0,7.394024326625367,9.5
8.246113053691746,11.5,7.702759770439641,13.0
9.419997359652541,11.5,8.328270347698636,10.5
9.406025881896198,17.0,7.476309898244459,6.5
10.064895281353527,10.0,9.803527240228258,1.0
10.165981142016328,2.0,9.543637784419298,7.0
8.959603222720462,9.5,8.332022219426813,18.0
8.86243625850401,13.0,8.471738456579335,17.0
9.55615224762861,10.5,9.272774953707698,11.0
8.910033909410398,6.5,9.847844470546343,10.0
8.918227300198458,1.0,9.677026568191305,3.0
8.585392077153763,7.0,8.835713549503874,9.0
7.560749659066292,18.0,7.882782965487556,6.0
9.0331270134624,17.0,9.35652649975151,16.0
10.733879656232238,11.0,10.614724516343719,10.0
10.475386814782793,10.0,10.507431371927199,6.0
