Complaint Type	Week0	Week1	Week2	Week3	Week4	Week5	Week6	Week7	Week8	Week9	Week10	Week11	Week12	Week13	Week14	Week15	Week16	Week17	Week18	Week19	Week20	Week21	Week22	Week23	Week24	Week25	Week26	Week27	Week28	Week29	Week30	Week31	Week32	Week33	Week34	Week35	Week36	Week37	Week38	Week39	Week40	Week41	Week42	Week43	Week44	Week45	Week46	Week47	Week48	Week49	Week50	Week51	Week52	Week53	Week54	Week55	Week56	Week57	Week58	Week59	Week60	Week61	Week62	Week63	Week64	Week65	Week66	Week67	Week68	Week69	Week70	Week71	Week72	Week73	Week74	Week75	Week76	Week77	Week78	Week79	Week80	Week81	Week82	Week83	Week84	Week85	Week86	Week87	Week88	Week89	Week90	Week91	Week92	Week93	Week94	Week95	Week96	Week97	Week98	Week99	Week100	Week101	Week102	Week103	Week104	Week105	Week106	Week107	Week108	Week109	Week110	Week111	Week112	Week113	Week114	Week115	Week116	Week117	Week118	Week119	Week120	Week121	Week122	Week123	Week124	Week125	Week126	Week127	Week128	Week129	Week130	Week131	Week132	Week133	Week134	Week135	Week136	Week137	Week138	Week139	Week140	Week141	Week142	Week143	Week144	Week145	Week146	Week147	Week148	Week149	Week150	Week151	Week152	Week153	Week154	Week155	Week156	Week157	Week158	Week159	Week160	Week161	Week162	Week163	Week164	Week165	Week166	Week167	Week168	Week169	Week170	Week171	Week172	Week173	Week174	Week175	Week176	Week177	Week178	Week179	Week180	Sum
Damaged Tree	0.004	0.002	0.002	0.005	0.003	0.002	0.001	0.002	0.001	0.002	0.004	0.002	0.002	0.004	0.003	0.01	0.005	0.004	0.006	0.007	0.007	0.01	0.008	0.008	0.01	0.013	0.008	0.009	0.008	0.012	0.016	0.013	0.011	0.01	0.009	0.009	0.012	0.008	0.011	0.018	0.011	0.005	0.007	0.01	0.006	0.005	0.004	0.003	0.003	0.003	0.003	0.004	0.002	0.007	0.003	0.002	0.003	0.009	0.005	0.006	0.018	0.005	0.005	0.004	0.007	0.031	0.01	0.006	0.005	0.006	0.007	0.013	0.008	0.011	0.014	0.022	0.011	0.012	0.011	0.012	0.036	0.025	0.018	0.013	0.016	0.014	0.011	0.014	0.01	0.01	0.009	0.011	0.01	0.006	0.012	0.008	0.005	0.005	0.008	0.004	0.003	0.003	0.004	0.002	0.003	0.002	0.003	0.011	0.004	0.003	0.013	0.006	0.004	0.01	0.004	0.004	0.004	0.005	0.004	0.005	0.006	0.012	0.01	0.014	0.01	0.011	0.009	0.011	0.02	0.013	0.012	0.013	0.014	0.015	0.013	0.014	0.012	0.016	0.012	0.011	0.008	0.011	0.009	0.007	0.013	0.007	0.018	0.022	0.008	0.006	0.01	0.004	0.004	0.003	0.002	0.004	0.001	0.002	0.003	0.003	0.002	0.002	0.003	0.006	0.004	0.057	0.032	0.01	0.02	0.009	0.007	0.01	0.006	0.005	0.006	0.023	0.014	0.008	0.007	0.005	0.005	1.576
DOOR/WINDOW	0.023	0.025	0.02	0.021	0.021	0.022	0.023	0.021	0.02	0.017	0.016	0.017	0.019	0.019	0.02	0.018	0.02	0.017	0.019	0.018	0.015	0.018	0.018	0.018	0.017	0.017	0.017	0.018	0.019	0.017	0.02	0.021	0.02	0.02	0.019	0.02	0.02	0.02	0.02	0.024	0.021	0.024	0.021	0.021	0.023	0.022	0.019	0.019	0.021	0.02	0.018	0.019	0.021	0.023	0.024	0.02	0.019	0.018	0.021	0.02	0.019	0.02	0.017	0.018	0.018	0.018	0.017	0.017	0.015	0.018	0.015	0.017	0.015	0.016	0.017	0.016	0.014	0.016	0.014	0.018	0.014	0.015	0.019	0.017	0.015	0.016	0.017	0.016	0.016	0.014	0.017	0.017	0.018	0.021	0.02	0.019	0.018	0.019	0.019	0.019	0.02	0.02	0.019	0.019	0.019	0.022	0.018	0.02	0.017	0.018	0.018	0.019	0.017	0.017	0.016	0.015	0.017	0.017	0.015	0.015	0.016	0.015	0.015	0.015	0.015	0.014	0.014	0.013	0.012	0.014	0.012	0.015	0.016	0.016	0.016	0.017	0.014	0.016	0.017	0.013	0.014	0.014	0.015	0.015	0.017	0.015	0.013	0.017	0.015	0.016	0.016	0.015	0.016	0.016	0.019	0.016	0.021	0.022	0.016	0.018	0.019	0.019	0.016	0.015	0.015	0.014	0.016	0.016	0.015	0.015	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.011	0.013	0.009	0.004	3.143
Missed Collection (All Materials)	0.009	0.011	0.013	0.012	0.0	0.003	0.012	0.006	0.014	0.009	0.016	0.015	0.013	0.016	0.01	0.012	0.009	0.012	0.01	0.011	0.009	0.012	0.012	0.013	0.011	0.01	0.011	0.015	0.012	0.012	0.012	0.012	0.013	0.012	0.011	0.011	0.015	0.012	0.012	0.011	0.011	0.013	0.014	0.012	0.02	0.014	0.026	0.014	0.017	0.018	0.016	0.017	0.011	0.017	0.013	0.009	0.001	0.006	0.002	0.017	0.014	0.014	0.016	0.015	0.013	0.014	0.015	0.014	0.016	0.014	0.013	0.014	0.015	0.012	0.02	0.015	0.015	0.015	0.013	0.022	0.017	0.016	0.018	0.015	0.014	0.015	0.012	0.011	0.018	0.013	0.013	0.013	0.015	0.013	0.012	0.015	0.017	0.018	0.017	0.014	0.025	0.019	0.016	0.017	0.016	0.012	0.016	0.02	0.014	0.017	0.001	0.019	0.022	0.017	0.003	0.002	0.008	0.02	0.018	0.016	0.017	0.015	0.015	0.015	0.017	0.014	0.02	0.017	0.016	0.019	0.015	0.024	0.025	0.022	0.019	0.021	0.019	0.019	0.018	0.012	0.019	0.017	0.014	0.016	0.016	0.017	0.016	0.016	0.015	0.019	0.027	0.02	0.027	0.014	0.017	0.013	0.005	0.0	0.004	0.026	0.018	0.017	0.016	0.017	0.019	0.017	0.001	0.013	0.004	0.015	0.02	0.016	0.016	0.017	0.017	0.016	0.017	0.015	0.024	0.02	0.02	2.624
Derelict Vehicle	0.008	0.007	0.01	0.006	0.004	0.007	0.005	0.006	0.008	0.008	0.011	0.011	0.013	0.01	0.01	0.01	0.01	0.011	0.013	0.012	0.011	0.013	0.012	0.011	0.012	0.012	0.013	0.013	0.011	0.013	0.012	0.012	0.012	0.013	0.013	0.013	0.013	0.014	0.013	0.009	0.012	0.009	0.01	0.013	0.011	0.011	0.01	0.01	0.011	0.014	0.011	0.012	0.009	0.012	0.01	0.009	0.01	0.014	0.009	0.012	0.015	0.014	0.014	0.013	0.013	0.013	0.016	0.016	0.015	0.012	0.014	0.016	0.015	0.013	0.015	0.015	0.016	0.017	0.013	0.015	0.014	0.014	0.015	0.017	0.016	0.016	0.017	0.014	0.017	0.018	0.017	0.016	0.016	0.015	0.012	0.014	0.016	0.013	0.012	0.011	0.012	0.011	0.01	0.013	0.015	0.011	0.016	0.014	0.015	0.016	0.009	0.016	0.017	0.018	0.011	0.011	0.02	0.015	0.014	0.015	0.016	0.017	0.016	0.017	0.016	0.016	0.017	0.016	0.016	0.017	0.014	0.017	0.018	0.019	0.021	0.018	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.017	0.017	0.016	0.017	0.013	0.015	0.013	0.015	0.014	0.016	0.01	0.011	0.011	0.008	0.005	0.012	0.017	0.017	0.017	0.017	0.016	0.017	0.015	0.015	0.016	0.017	0.016	0.018	0.016	0.017	0.016	0.018	0.019	0.017	0.015	0.019	0.019	0.023	2.498
Noise - Vehicle	0.004	0.004	0.005	0.004	0.003	0.004	0.003	0.004	0.004	0.005	0.005	0.006	0.007	0.009	0.01	0.012	0.01	0.014	0.016	0.014	0.016	0.011	0.014	0.013	0.013	0.014	0.013	0.013	0.012	0.015	0.011	0.014	0.012	0.014	0.012	0.013	0.013	0.013	0.013	0.008	0.013	0.008	0.009	0.01	0.01	0.007	0.006	0.007	0.009	0.011	0.007	0.008	0.005	0.004	0.005	0.003	0.006	0.005	0.004	0.007	0.006	0.008	0.011	0.009	0.009	0.009	0.008	0.015	0.015	0.009	0.011	0.013	0.02	0.019	0.014	0.017	0.02	0.018	0.019	0.013	0.016	0.014	0.012	0.017	0.012	0.014	0.016	0.017	0.015	0.016	0.015	0.015	0.014	0.018	0.01	0.01	0.011	0.009	0.009	0.009	0.008	0.007	0.005	0.007	0.006	0.005	0.008	0.007	0.007	0.007	0.005	0.011	0.012	0.008	0.007	0.008	0.009	0.01	0.017	0.017	0.013	0.022	0.012	0.019	0.021	0.021	0.018	0.021	0.019	0.021	0.021	0.014	0.018	0.014	0.02	0.019	0.019	0.019	0.018	0.018	0.018	0.017	0.018	0.017	0.015	0.014	0.015	0.011	0.009	0.007	0.007	0.009	0.009	0.007	0.008	0.008	0.004	0.003	0.006	0.007	0.008	0.007	0.007	0.012	0.01	0.008	0.008	0.009	0.011	0.011	0.011	0.016	0.014	0.022	0.023	0.019	0.024	0.029	0.02	0.025	0.028	2.145
Traffic Signal Condition	0.022	0.024	0.027	0.03	0.032	0.024	0.023	0.028	0.032	0.036	0.026	0.023	0.022	0.018	0.017	0.029	0.017	0.016	0.015	0.018	0.015	0.028	0.018	0.02	0.019	0.019	0.016	0.019	0.019	0.016	0.018	0.017	0.017	0.015	0.043	0.017	0.021	0.014	0.017	0.022	0.019	0.013	0.018	0.017	0.016	0.015	0.017	0.015	0.014	0.016	0.017	0.017	0.017	0.02	0.017	0.024	0.02	0.023	0.027	0.024	0.027	0.019	0.018	0.015	0.019	0.023	0.017	0.017	0.019	0.018	0.017	0.018	0.015	0.018	0.018	0.016	0.014	0.014	0.016	0.015	0.016	0.022	0.015	0.015	0.017	0.014	0.014	0.012	0.015	0.014	0.014	0.017	0.015	0.014	0.013	0.018	0.015	0.016	0.017	0.017	0.018	0.019	0.022	0.017	0.017	0.022	0.016	0.023	0.017	0.021	0.028	0.017	0.019	0.017	0.021	0.019	0.023	0.022	0.017	0.014	0.017	0.015	0.017	0.016	0.014	0.015	0.015	0.015	0.018	0.015	0.013	0.014	0.017	0.015	0.014	0.014	0.013	0.014	0.013	0.014	0.013	0.014	0.012	0.014	0.015	0.014	0.016	0.019	0.014	0.011	0.014	0.011	0.014	0.018	0.017	0.019	0.012	0.018	0.038	0.02	0.017	0.023	0.042	0.016	0.015	0.036	0.018	0.014	0.016	0.015	0.014	0.023	0.014	0.014	0.013	0.016	0.014	0.014	0.014	0.015	0.015	3.286
Noise - Commercial	0.019	0.014	0.021	0.017	0.016	0.017	0.014	0.013	0.016	0.015	0.017	0.018	0.019	0.027	0.024	0.031	0.026	0.029	0.03	0.029	0.027	0.023	0.029	0.019	0.021	0.024	0.019	0.018	0.016	0.017	0.014	0.018	0.017	0.019	0.019	0.018	0.022	0.025	0.032	0.021	0.028	0.023	0.024	0.026	0.028	0.023	0.024	0.021	0.025	0.031	0.027	0.022	0.019	0.018	0.018	0.012	0.021	0.02	0.013	0.021	0.022	0.024	0.027	0.026	0.027	0.027	0.027	0.033	0.031	0.029	0.031	0.035	0.038	0.024	0.027	0.033	0.029	0.026	0.018	0.019	0.016	0.014	0.017	0.017	0.013	0.019	0.019	0.027	0.022	0.026	0.028	0.03	0.029	0.028	0.02	0.026	0.024	0.022	0.024	0.023	0.023	0.022	0.021	0.018	0.021	0.016	0.023	0.021	0.021	0.018	0.018	0.024	0.023	0.019	0.017	0.017	0.021	0.018	0.024	0.028	0.025	0.028	0.025	0.024	0.024	0.029	0.027	0.022	0.021	0.021	0.018	0.018	0.018	0.018	0.022	0.022	0.021	0.02	0.024	0.029	0.026	0.02	0.024	0.023	0.024	0.023	0.025	0.022	0.021	0.016	0.017	0.018	0.023	0.02	0.022	0.017	0.01	0.011	0.018	0.018	0.02	0.017	0.018	0.019	0.019	0.015	0.019	0.019	0.02	0.019	0.021	0.02	0.021	0.025	0.026	0.022	0.027	0.024	0.022	0.028	0.025	3.984
PLUMBING	0.029	0.034	0.029	0.03	0.027	0.028	0.039	0.037	0.032	0.027	0.024	0.025	0.026	0.028	0.028	0.024	0.025	0.025	0.023	0.025	0.02	0.024	0.021	0.026	0.022	0.025	0.026	0.024	0.026	0.025	0.024	0.026	0.027	0.028	0.026	0.025	0.027	0.026	0.027	0.028	0.028	0.029	0.028	0.027	0.03	0.032	0.028	0.03	0.032	0.026	0.028	0.025	0.028	0.032	0.03	0.022	0.027	0.026	0.036	0.029	0.026	0.024	0.023	0.024	0.024	0.024	0.024	0.022	0.022	0.024	0.021	0.022	0.021	0.021	0.022	0.022	0.018	0.023	0.018	0.023	0.023	0.024	0.026	0.022	0.028	0.025	0.027	0.02	0.024	0.021	0.024	0.025	0.024	0.027	0.023	0.025	0.028	0.026	0.026	0.03	0.029	0.034	0.029	0.03	0.03	0.031	0.031	0.03	0.028	0.028	0.027	0.026	0.027	0.024	0.022	0.022	0.026	0.024	0.023	0.022	0.024	0.02	0.02	0.02	0.022	0.019	0.02	0.02	0.017	0.018	0.019	0.02	0.021	0.021	0.02	0.023	0.022	0.024	0.022	0.019	0.019	0.019	0.021	0.02	0.021	0.02	0.021	0.021	0.021	0.023	0.024	0.023	0.023	0.024	0.025	0.024	0.031	0.038	0.028	0.028	0.026	0.027	0.025	0.021	0.022	0.019	0.022	0.024	0.022	0.022	0.02	0.019	0.021	0.019	0.018	0.018	0.019	0.016	0.017	0.013	0.008	4.433
General Construction/Plumbing	0.009	0.007	0.012	0.009	0.007	0.008	0.008	0.007	0.01	0.009	0.01	0.012	0.013	0.014	0.015	0.015	0.015	0.015	0.016	0.017	0.015	0.015	0.016	0.017	0.016	0.019	0.015	0.017	0.016	0.018	0.017	0.017	0.018	0.017	0.016	0.015	0.021	0.017	0.016	0.013	0.015	0.014	0.014	0.014	0.015	0.014	0.016	0.013	0.015	0.016	0.014	0.011	0.009	0.013	0.01	0.009	0.011	0.012	0.009	0.014	0.015	0.015	0.015	0.016	0.015	0.017	0.015	0.018	0.015	0.017	0.015	0.019	0.017	0.014	0.016	0.016	0.017	0.016	0.013	0.015	0.017	0.017	0.015	0.016	0.015	0.02	0.016	0.014	0.016	0.015	0.016	0.018	0.018	0.016	0.012	0.014	0.012	0.012	0.013	0.011	0.014	0.011	0.01	0.011	0.013	0.009	0.012	0.013	0.013	0.014	0.012	0.015	0.014	0.013	0.01	0.012	0.013	0.013	0.013	0.015	0.014	0.016	0.015	0.015	0.016	0.013	0.013	0.014	0.014	0.016	0.013	0.015	0.013	0.016	0.016	0.015	0.016	0.015	0.015	0.014	0.014	0.015	0.015	0.015	0.013	0.014	0.014	0.013	0.012	0.012	0.014	0.011	0.013	0.011	0.01	0.009	0.006	0.007	0.009	0.014	0.012	0.012	0.015	0.014	0.014	0.013	0.012	0.013	0.014	0.013	0.014	0.016	0.015	0.015	0.015	0.015	0.013	0.013	0.014	0.015	0.016	2.514
Sidewalk Condition	0.007	0.006	0.01	0.008	0.007	0.009	0.006	0.008	0.012	0.01	0.012	0.013	0.012	0.013	0.014	0.016	0.017	0.019	0.016	0.015	0.013	0.014	0.016	0.015	0.015	0.015	0.013	0.015	0.016	0.018	0.018	0.017	0.018	0.018	0.015	0.015	0.016	0.018	0.016	0.014	0.016	0.012	0.014	0.014	0.013	0.012	0.011	0.011	0.012	0.013	0.01	0.01	0.006	0.011	0.008	0.006	0.009	0.009	0.005	0.009	0.011	0.012	0.012	0.012	0.012	0.012	0.012	0.013	0.015	0.017	0.014	0.017	0.017	0.014	0.015	0.013	0.015	0.015	0.012	0.016	0.015	0.017	0.017	0.015	0.014	0.015	0.015	0.015	0.016	0.016	0.017	0.015	0.017	0.016	0.012	0.013	0.014	0.013	0.011	0.01	0.011	0.01	0.006	0.009	0.009	0.008	0.01	0.011	0.011	0.011	0.008	0.013	0.014	0.011	0.008	0.01	0.013	0.013	0.013	0.015	0.013	0.014	0.015	0.014	0.013	0.011	0.012	0.012	0.014	0.014	0.012	0.013	0.016	0.016	0.015	0.014	0.016	0.017	0.019	0.015	0.019	0.02	0.016	0.017	0.016	0.016	0.017	0.012	0.014	0.011	0.013	0.012	0.013	0.01	0.009	0.009	0.005	0.005	0.008	0.012	0.014	0.011	0.012	0.012	0.013	0.012	0.011	0.011	0.012	0.013	0.015	0.013	0.014	0.015	0.016	0.016	0.013	0.013	0.015	0.014	0.006	2.349
